FR_new	EN_new	DE_new	ES_new	NL_new	SV_new	IT_new	PT_new	RO_new	PL_new	SL_new	CS_new	RU_new	BG_new	ET_new	FI_new	HU_new	NO_new
faire_V_Trans_Refl	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
faire_V_ClauseComp	make_V_ClauseComp	lassen_V_ClauseComp	hacer_V_ClauseComp	laten_V_ClauseComp	NA	fare_V_ClauseComp	NA	face_sa_V_ClauseComp	NA	NA	NA	zastavljat_V_ClauseComp	NA	panema_Vma_ClauseComp	NA	NA	fa_til_a_V_ClauseComp
NA	make_V_ClauseComp	NA	hacer_V_ClauseComp	NA	fa_att_V_ClauseComp	NA	fazer_V_ClauseComp	NA	NA	NA	primet_V_Trans_Refl	NA	NA	NA	NA	NA	fa_til_a_V_ClauseComp
NA	NA	NA	hacer_V_Trans_Refl	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	laten_V_Trans	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	fa_att_V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
laisser_V	let_V	NA	NA	NA	NA	NA	deixar_V	lasa_sa_V	NA	NA	dovolit_aby_Clause_Trans	NA	dopuskam_da_Clause_Trans	laskma_Vda	antaa_V1st_Trans	NA	la_V_Trans
NA	NA	NA	NA	laten_V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
faire_V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
forcer_a_V_Trans	NA	NA	NA	NA	NA	costringere_a_V_Trans	NA	NA	NA	NA	NA	NA	NA	NA	kiristaa_Villative_Trans_Pass	NA	NA
NA	let_V_Trans	NA	NA	NA	NA	fare_V	deixar_V_ClauseComp	NA	NA	NA	NA	NA	NA	NA	NA	NA	la_V_Trans
laisser_V	let_V	lassen_V	NA	laten_V	NA	NA	NA	lasa_sa_V	NA	NA	nechat_V	NA	pozvoljavam_da_Clause	NA	antaa_V1st	NA	la_V
laisser_V	let_V	lassen_V	dejar_V	laten_V	NA	lasciare_V	deixar_V	lasa_sa_V	NA	NA	NA	NA	NA	laskma_Vda	NA	NA	la_V
laisser_V	let_V	NA	dejar_V	NA	NA	lasciare_V	deixar_V	lasa_sa_V_Trans	NA	pustiti_V	NA	davat_V	NA	lubama_Vda	NA	NA	la_V
